Invoice ID, Branch, City     , Customer Type, Gender, Product Line          , Product Name       , Unit Price, Quantity, Tax 5%, Total , Date     , Payment    , Rating
       001, A     , Yangon   , Member       , Male  , Electronic Accessories, USB Cable          ,      15.50,        5,   3.88,  81.38, 1/5/2024 , Ewallet    ,    7.2
       002, A     , Yangon   , Normal       , Female, Health & Beauty       , Shampoo            ,      25.99,        2,   2.60,  54.58, 1/5/2024 , Cash       ,    8.5
       003, A     , Yangong  , Member       , Female, Fashion Accessories   , Sunglasses         ,      45.00,        1,   2.25,  47.25, 2/5/2024 , Credit card,    6.8
       004, A     , Yangon   , Normal       , Male  , Food & Beverages      , Coffee Beans       ,      30.00,        3,   4.50,  94.50, 2/5/2024 , Ewallet    ,    9.1
       005, A     , Yangon   , Member       , Female, Sports & Travel       , Yoga Mat           ,      35.99,        2,   3.60,  75.58, 3/5/2024 , Cash       ,    7.8
       006, A     , Yangon   , Normal       , Male  , Electronic Accessories, Bluetooth Speaker  ,      85.00,        1,   4.25,  89.25, 3/5/2024 , Credit card,    8.2
       007, A     , Yangon   , Member       , Female, Home & Lifestyle      , Throw Pillow       ,      22.50,        3,   3.38,  70.88, 4/5/2024 , Ewallet    ,    6.5
       008, A     , Yangon   , Normal       , Male  , Health & Beauty       , Multivitamins      ,      45.99,        1,   2.30,  48.29, 4/5/2024 , Cash       ,    9
       009, A     , Yangon   , Member       , Female, Food & Beverages      , Organic Honey      ,      18.99,        2,   1.90,  39.88, 5/5/2024 , Credit card,    7.4
       010, A     , Yangon   , Normal       , Male  , Fashion Accessories   , Leather Belt       ,      29.99,        1,   1.50,  31.49, 5/5/2024 , Ewallet    ,    8.7
       011, B     , Mandalay , Member       , Female, Electronic Accessories, Wireless Mouse     ,      32.99,        2,   3.30,  69.28, 6/5/2024 , Cash       ,    8.1
       012, B     , Mandalay , Normal       , Male  , Home & Lifestyle      , Coffee Maker       ,      89.99,        1,   4.50,  94.49, 6/5/2024 , Credit card,    7.9
       013, B     , Mandalay , Member       , Female, Sports & Travel       , Dumbbell Set       ,      55.50,        1,   2.78,  58.28, 7/5/2024 , Ewallet    ,    6.2
       014, B     , Mandalay , Normal       , Male  , Health & Beauty       , Toothpaste         ,       8.99,        5,   2.25,  47.20, 7/5/2024 , Cash       ,    8.8
       015, B     , Mandalay , Member       , Female, Fashion Accessories   , Hair Clips         ,       4.99,        8,   2.00,  41.92, 8/5/2024 , Credit card,    7.5
       016, B     , Mandalay , Normal       , Male  , Food & Beverages      , Green Tea          ,      12.99,        4,   2.60,  54.56, 8/5/2024 , Ewallet    ,    9.2
       017, B     , Mandalay , Member       , Female, Electronic Accessories, Laptop Stand       ,      45.99,        1,   2.30,  48.29, 9/5/2024 , Cash       ,    6.9
       018, B     , Mandalay , Normal       , Male  , Home & Lifestyle      , Bedsheet Set       ,      65.00,        1,   3.25,  68.25, 9/5/2024 , Credit card,    8.3
       019, B     , Mandalay , Member       , Female, Sports & Travel       , Water Bottle       ,      18.50,        3,   2.78,  58.28, 10/5/2024, Ewallet    ,    7.1
       020, B     , Mandalay , Normal       , Male  , Health & Beauty       , Sunscreen          ,      22.99,        2,   2.30,  48.28, 10/5/2024, Cash       ,    8.4
       021, C     , Naypyitaw, Member       , Female, Fashion Accessories   , Scarf              ,      19.99,        2,   2.00,  41.98, 11/5/2024, Credit card,    7.6
       022, C     , Naypyitaw, Normal       , Male  , Food & Beverages      , Olive Oil          ,      28.99,        2,   2.90,  60.88, 11/5/2024, Ewallet    ,    8.9
       023, C     , Naypyitaw, Member       , Female, Electronic Accessories, HDMI Cable         ,      22.50,        3,   3.38,  70.88, 12/5/2024, Cash       ,    6.4
       024, C     , Naypyitaw, Normal       , Male  , Home & Lifestyle      , Towel Set          ,      34.99,        2,   3.50,  73.48, 12/5/2024, Credit card,    7.7
       025, C     , Naypyitaw, Member       , Female, Sports & Travel       , Running Shoes      ,      89.99,        1,   4.50,  94.49, 13/5/2024, Ewallet    ,    9.3
       026, C     , Naypyitaw, Normal       , Male  , Health & Beauty       , Protein Powder     ,      55.99,        1,   2.80,  58.79, 13/5/2024, Cash       ,    8.6
       027, C     , Naypyitaw, Member       , Female, Fashion Accessories   , Watch              ,     125.00,        1,   6.25, 131.25, 14/5/2024, Credit card,    7.9
