Order ID, Date      , Product Name        , Category          , Price , Quantity, Shipping Status, Customer Location, Payment Method, Returned
    1001, 2024-01-05, Fire TV Stick       , Electronics       ,  39.99,        2, Delivered      , New York         , Credit Card   , No
    1002, 2024-01-05, Echo Dot            , Electronics       ,  49.99,        1, Shipped        , Los Angeles      , Debit Card    , No
    1003, 2024-01-06, Kindle Paperwhite   , Electronics       , 139.99,        1, Pending        , Chicago          , PayPal        , No
    1004, 2024-01-06, Instant Pot         , Home & Kitchen    ,  89.99,        1, Delivered      , Houston          , Credit Card   , No
    1005, 2024-01-07, Coffee Maker        , Home & Kitchen    ,  79.99,        2, Shipped        , Phoenix          , Amazon Pay    , Yes
    1006, 2024-01-07, Yoga Mat            , Sports & Outdoors ,  25.99,        1, Delivered      , Philadelphia     , Debit Card    , No
    1007, 2024-01-08, Dumbbell Set        , Sports & Outdoors ,  45.99,        1, Cancelled      , San Antonio      , Credit Card   , No
    1008, 2024-01-08, Wireless Mouse      , Electronics       ,  29.99,        3, Delivered      , San Diego        , PayPal        , No
    1009, 2024-01-09, Mechanical Keyboard , Electronics       , 129.99,        1, Shipped        , Dallas           , Credit Card   , Yes
    1010, 2024-01-09, Desk Lamp           , Home & Kitchen    ,  34.99,        2, Delivered      , San Jose         , Amazon Pay    , No
    1011, 2024-01-10, Throw Pillow        , Home & Kitchen    ,  19.99,        4, Delivered      , Austin           , Debit Card    , No
    1012, 2024-01-10, Hiking Boots        , Sports & Outdoors ,  89.99,        1, Shipped        , Jacksonville     , Credit Card   , No
    1013, 2024-01-11, Sunglasses          , Clothing          ,  15.99,        2, Delivered      , Fort Worth       , PayPal        , No
    1014, 2024-01-11, Backpack            , Luggage           ,  55.99,        1, Pending        , Columbus         , Amazon Pay    , No
    1015, 2024-01-12, Water Bottle        , Sports & Outdoors ,  18.99,        3, Delivered      , Charlotte        , Debit Card    , Yes
    1016, 2024-01-12, Smartphone Stand    , Electronics       ,  22.99,        2, Delivered      , San Francisco    , Credit Card   , No
    1017, 2024-01-13, Bluetooth Speaker   , Electronics       ,  69.99,        1, Shipped        , Indianapolis     , PayPal        , No
    1018, 2024-01-13, Slow Cooker         , Home & Kitchen    ,  59.99,        1, Delivered      , Seattle          , Amazon Pay    , No
    1019, 2024-01-14, Running Shoes       , Clothing          ,  74.99,        1, Delivered      , Denver           , Debit Card    , Yes
    1020, 2024-01-14, Winter Jacket       , Clothing          , 119.99,        1, Shipped        , Washington       , PayPal        , No
    1021, 2024-01-15, Digital Thermometer , Health & Household,  14.99,        2, Delivered      , Boston           , Credit Card   , No
    1022, 2024-01-15, Air Purifier        , Home & Kitchen    , 199.99,        1, Pending        , Nashville        , Amazon Pay    , No
    1023, 2024-01-16, Game Controller     , Video Games       ,  64.99,        1, Delivered      , El Paso          , Debit Card    , No
    1024, 2024-01-16, PS5 Game            , Video Games       ,  69.99,        2, Shipped        , Detroit          , Credit Card   , Yes
    1025, 2024-01-17, LED Strip Lights    , Electronics       ,  29.99,        1, Delivered      , Memphis          , PayPal        , No
    1026, 2024-01-17, Bed Sheets          , Bedding           ,  39.99,        2, Delivered      , Portland         , Amazon Pay    , No
    1027, 2024-01-18, Towel Set           , Bath              ,  29.99,        1, Shipped        , Oklahoma City    , Credit Card   , No
    1028, 2024-01-18, Shampoo             , Beauty            ,  12.99,        3, Delivered      , Las Vegas        , Debit Card    , No
    1029, 2024-01-19, Conditioner         , Beauty            ,  12.99,        2, Delivered      , Louisville       , PayPal        , Yes
    1030, 2024-01-19, Hair Dryer          , Beauty            ,  34.99,        1, Shipped        , Baltimore        , Amazon Pay    , No
    1031, 2024-01-20, Stainless Steel Pan , Home & Kitchen    ,  49.99,        1, Delivered      , Milwaukee        , Credit Card   , No
    1032, 2024-01-20, Knife Set           , Home & Kitchen    ,  89.99,        1, Delivered      , Albuquerque      , Debit Card    , No
    1033, 2024-01-21, Cutting Board       , Home & Kitchen    ,  24.99,        2, Shipped        , Tucson           , PayPal        , No
    1034, 2024-01-21, Wine Glasses        , Kitchen           ,  34.99,        4, Delivered      , Fresno           , Amazon Pay    , No
    1035, 2024-01-22, Cocktail Shaker     , Kitchen           ,  19.99,        1, Pending        , Sacramento       , Credit Card   , Yes
    1036, 2024-01-22, Bluetooth Headphones, Electronics       ,  99.99,        1, Delivered      , Kansas City      , Debit Card    , No
    1037, 2024-01-23, USB Cable           , Electronics       ,   9.99,        5, Shipped        , Mesa             , PayPal        , No
    1038, 2024-01-23, Wall Charger        , Electronics       ,  19.99,        2, Delivered      , Atlanta          , Amazon Pay    , No
    1039, 2024-01-24, Desk Chair          , Furniture         , 159.99,        1, Delivered      , Omaha            , Credit Card   , No
    1040, 2024-01-24, Bookshelf           , Furniture         ,  89.99,        1, Shipped        , Raleigh          , Debit Card    , Yes
    1041, 2024-01-25, Filing Cabinet      , Office            ,  79.99,        1, Delivered      , Miami            , PayPal        , No
    1042, 2024-01-25, Printer Paper       , Office            ,  29.99,        2, Delivered      , Cleveland        , Amazon Pay    , No
    1043, 2024-01-26, Pens (12pk)         , Office            ,   7.99,        5, Shipped        , Tulsa            , Credit Card   , No
    1044, 2024-01-26, Notebooks           , Office            ,  12.99,        4, Delivered      , Oakland          , Debit Card    , No
    1045, 2024-01-27, Sticky Notes        , Office            ,   4.99,       10, Delivered      , Minneapolis      , PayPal        , Yes
    1046, 2024-01-27, File Folders        , Office            ,   9.99,        3, Shipped        , Wichita          , Amazon Pay    , No
    1047, 2024-01-28, Scissors            , Office            ,   6.99,        2, Delivered      , Arlington        , Credit Card   , No
